Flight Number,Launch Date,Launch Year,Launch Time,Launch Site,Vehicle Type,Payload Name,Payload Type,Payload Mass (kg),Payload Orbit,Customer Name,Customer Type,Customer Country,Mission Outcome,Failure Reason,Landing Type,Landing Outcome
F1-1,24/03/2006,2006,22:30:00,Marshall Islands,Falcon 1,FalconSAT-2,Research Satellite,195,,DARPA,Government,United States,Failure,Engine Fire During Launch,,
F1-2,21/03/2007,2007,1:10:00,Marshall Islands,Falcon 1,DemoSat,,,,DARPA,Government,United States,Failure,Engine Shutdown During Launch,,
F1-3,3/08/2008,2008,3:34:00,Marshall Islands,Falcon 1,Trailblazer,Communication Satellite,,,ORS,Government,United States,Failure,Collision During Launch,,
F1-3,3/08/2008,2008,3:34:00,Marshall Islands,Falcon 1,PRESat NanoSail-D,Research Satellites,8,,NASA,Government,United States,Failure,Collision During Launch,,
F1-3,3/08/2008,2008,3:34:00,Marshall Islands,Falcon 1,Explorers,Human Remains,,,Celestis,Business,United States,Failure,Collision During Launch,,
F1-4,28/09/2008,2008,23:15:00,Marshall Islands,Falcon 1,RatSat (DemoSat),,165,Low Earth Orbit,,,,Success,,,
F1-5,14/07/2009,2009,3:35:00,Marshall Islands,Falcon 1,RazakSAT,Weather Satellite,180,Low Earth Orbit,ATSB,Government,Malaysia,Success,,,
F9-1,4/06/2010,2010,18:45:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),Dragon Spacecraft Qualification Unit,,,Low Earth Orbit,,,,Success,,Parachute,Failure
F9-2,8/12/2010,2010,15:43:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),SpaceX CRS (Dragon C1),Space Station Supplies,,Low Earth Orbit,NASA,Government,United States,Success,,Parachute,Failure
F9-3,22/05/2012,2012,7:44:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),SpaceX CRS (Dragon C2+),Space Station Supplies,,Low Earth Orbit,NASA,Government,United States,Success,,,
F9-4,8/10/2012,2012,0:35:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),SpaceX CRS-1,Space Station Supplies,500,Low Earth Orbit,NASA,Government,United States,Success,,,
F9-4,8/10/2012,2012,0:35:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),Orbcomm-OG2,Communication Satellite,150,Low Earth Orbit,Orbcomm,Business,United States,Failure,Engine Failure During Flight,,
F9-5,1/03/2013,2013,15:10:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),SpaceX CRS-2,Space Station Supplies,677,Low Earth Orbit,NASA,Government,United States,Success,,,
F9-6,29/09/2013,2013,16:00:00,Vandenberg AFB SLC-4E,Falcon 9 (v1.1),CASSIOPE,Communication/Research Satellite,500,Polar Orbit,MDA Corp,Business,Canada,Success,,Ocean,Failure
F9-7,3/12/2013,2013,22:41:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),SES-8,Communication Satellite,3170,Geostationary Transfer Orbit,SES,Business,Luxembourg,Success,,None,
F9-8,6/12/2014,2014,22:06:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),Thaicom 6,Communication Satellite,3325,Geostationary Transfer Orbit,Thaicom,Business,Thailand,Success,,None,
F9-9,18/04/2014,2014,19:25:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),SpaceX CRS-3,Space Station Supplies,2296,Low Earth Orbit,NASA,Government,United States,Success,,Ocean,Success
F9-10,14/07/2014,2014,15:15:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),OG2 Mission 1 (6 OG2 Satellites),Communication Satellite,,Low Earth Orbit,Orbcomm,Business,United States,Success,,Ocean,Success
F9-11,5/08/2014,2014,8:00:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),AsiaSat 8,Communication Satellite,4535,Geostationary Transfer Orbit,AsiaSat,Business,China,Success,,None,
F9-12,7/09/2014,2014,5:00:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),AsiaSat 6,Communication Satellite,4428,Geostationary Transfer Orbit,AsiaSat,Business,China,Success,,None,
F9-13,21/09/2014,2014,5:52:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),SpaceX CRS-4,Space Station Supplies,2216,Geostationary Transfer Orbit,NASA,Government,United States,Success,,Ocean,Success
F9-14,10/01/2015,2015,9:47:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),SpaceX CRS-5,Space Station Supplies,2395,Low Earth Orbit,NASA,Government,United States,Success,,Ship,Failure
F9-15,11/02/2015,2015,23:03:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),DSCOVR,Weather Satellite,570,Sun/Earth Orbit,US Air Force,,,,,,
F9-16,2/03/2015,2015,3:50:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),ABS-3A,Communication Satellite,4159,Geostationary Transfer Orbit,Asia Broadcast Satellite,Business,Bermuda,Success,,None,
F9-16,2/03/2015,2015,3:50:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),Eutelsat 115 West B (Satmex 7),Communication Satellite,4159,Geostationary Transfer Orbit,Eutelsat (Satmex),Business,France (Mexico),Success,,None,
F9-17,14/04/2015,2015,20:10:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),SpaceX CRS-6,Space Station Supplies,1898,Low Earth Orbit,NASA,Government,United States,Success,,Ship,Failure
F9-18,27/04/2015,2015,23:03:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),TurkmenAlem 52E/MonacoSAT,Communication Satellite,4707,Geostationary Transfer Orbit,Turkmenistan NSA,Government,Turkmenistan,Success,,None,
F9-19,28/06/2015,2015,14:21:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.1),SpaceX CRS-7,Space Station Supplies,1952,Low Earth Orbit,NASA,Government,United States,Failure,Vehicle Explosion During Flight,,
FT-1,22/12/2015,2015,1:29:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),OG2 Mission 2 (11 OG2 Satellites),Communication Satellite,,Low Earth Orbit,Orbcomm,Business,United States,Success,,Land,Success
F9-21,17/01/2016,2016,18:42:00,Vandenberg AFB SLC-4E,Falcon 9 (v1.1),Jason-3,Weather Satellite,553,Low Earth Orbit,NASA,,,,,,
FT-2,4/03/2016,2016,23:35:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),SES-9,Communication Satellite,5271,Geostationary Transfer Orbit,SES,Business,Luxembourg,Success,,Ship,Failure
FT-3,8/04/2016,2016,20:43:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),SpaceX CRS-8,Space Station Supplies,3136,Low Earth Orbit,NASA,Government,United States,Success,,Ship,Success
FT-4,6/05/2016,2016,5:21:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),JCSAT-14,Communication Satellite,4696,Geostationary Transfer Orbit,SKY Perfect JSAT Group,Business,Japan,Success,,Ship,Success
FT-5,27/05/2016,2016,21:39:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),Thaicom 8,Communication Satellite,3100,Geostationary Transfer Orbit,Thaicom,Business,Thailand,Success,,Ship,Success
FT-6,15/06/2016,2016,14:29:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),ABS-2A,Communication Satellite,3600,Geostationary Transfer Orbit,Asia Broadcast Satellite,Business,Bermuda,Success,,Ship,Failure
FT-6,15/06/2016,2016,14:29:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),Eutelsat 117 West B (Satmex 9),Communication Satellite,3600,Geostationary Transfer Orbit,Eutelsat (Satmex),Business,France (Mexico),Success,,Ship,Failure
FT-7,18/07/2016,2016,4:45:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),SpaceX CRS-9,Space Station Supplies,2257,Low Earth Orbit,NASA,Government,United States,Success,,Land,Success
FT-8,14/08/2016,2016,5:26:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),JCSAT-16,Communication Satellite,4600,Geostationary Transfer Orbit,SKY Perfect JSAT Group,Business,Japan,Success,,Ship,Success
FT-9,1/09/2016,2016,13:07:00,Cape Canaveral AFS LC-40,Falcon 9 Full Thrust (v1.2),Amos-6,Communication Satellite,5500,Geostationary Transfer Orbit,Spacecom,Business,Israel,Failure,Vehicle Explosion Before Launch,,
FT-10,14/01/2017,2017,17:54:00,Vandenberg AFB SLC-4E,Falcon 9 Full Thrust (v1.2),Iridium NEXT 1-10,Communication Satellite,9600,Low Earth Orbit,Iridium Communications,Business,United States,Success,,Ship,Success
FT-11,19/02/2017,2017,14:39:00,Kennedy Space Center LC-39A,Falcon 9 Full Thrust (v1.2),SpaceX CRS-10,Space Station Supplies,2490,Low Earth Orbit,NASA,Government,United States,Success,,Land,Success
