Flight Number,Launch Date,Launch Year,Launch Time,Launch Site,Vehicle Type,Payload Name,Payload Type,Payload Mass (kg),Payload Orbit,Customer Name,Customer Type,Customer Country,Mission Outcome,Failure Reason,Landing Type,Landing Outcome
F1-1,2006-03-24,2006,22:30:00,Marshall Islands,Falcon 1,FalconSAT-2,Research Satellite,195,,DARPA,Government,United States,Failure,Engine Fire During Launch,,
F1-2,2007-03-21,2007,1:10:00,Marshall Islands,Falcon 1,DemoSat,,,,DARPA,Government,United States,Failure,Engine Shutdown During Launch,,
F1-3,2008-08-03,2008,3:34:00,Marshall Islands,Falcon 1,Trailblazer,Communication Satellite,,,ORS,Government,United States,Failure,Collision During Launch,,
F1-3,2008-08-03,2008,3:34:00,Marshall Islands,Falcon 1,PRESat NanoSail-D,Research Satellites,8,,NASA,Government,United States,Failure,Collision During Launch,,
F1-3,2008-08-03,2008,3:34:00,Marshall Islands,Falcon 1,Explorers,Human Remains,,,Celestis,Business,United States,Failure,Collision During Launch,,
F1-4,2008-09-28,2008,23:15:00,Marshall Islands,Falcon 1,RatSat (DemoSat),,165,Low Earth Orbit,,,,Success,,,
F1-5,2009-07-14,2009,3:35:00,Marshall Islands,Falcon 1,RazakSAT,Weather Satellite,180,Low Earth Orbit,ATSB,Government,Malaysia,Success,,,
F9-1,2010-06-04,2010,18:45:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),Dragon Spacecraft Qualification Unit,,,Low Earth Orbit,,,,Success,,Parachute,Failure
F9-2,2010-12-08,2010,15:43:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),SpaceX CRS (Dragon C1),Space Station Supplies,,Low Earth Orbit,NASA,Government,United States,Success,,Parachute,Failure
F9-3,2012-05-22,2012,7:44:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),SpaceX CRS (Dragon C2+),Space Station Supplies,,Low Earth Orbit,NASA,Government,United States,Success,,,
F9-4,2012-10-08,2012,0:35:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),SpaceX CRS-1,Space Station Supplies,500,Low Earth Orbit,NASA,Government,United States,Success,,,
F9-4,2012-10-08,2012,0:35:00,Cape Canaveral AFS LC-40,Falcon 9 (v1.0),Orbcomm-OG2,Communication Satellite,150,Low Earth Orbit,Orbcomm,Business,United States,Failure,Engine Failure During Flight,,
